timestamp,vehicleId,speed,heading,longitude,lattitude
10.409,524,30.95,23.6,2902.25,7270.43
10.5062,376,33.28,21.9,2903.48,7267.38
10.5481,598,35.34,23.6,2903.48,7267.38
10.5843,450,24.94,22.3,2903.48,7267.38
10.6087,524,30.75,23.6,2904.71,7264.33
10.7065,376,33.29,21.9,2905.94,7261.27
10.7483,598,35.81,23.6,2905.94,7261.27
10.7843,450,24.95,21.9,2905.94,7261.27
10.8087,524,30.6,23.6,2907.17,7258.2
10.9062,376,33.3,21.9,2908.41,7255.13
10.9481,598,35.99,23.6,2908.41,7255.13
10.9846,450,25,21.9,2908.41,7255.13
11.009,524,30.52,23.6,2909.65,7252.05
11.1062,376,33.29,21.9,2910.9,7248.96
11.1481,598,36.04,23.6,2910.9,7248.96
11.1843,450,25,21.9,2910.9,7248.96
11.2087,524,30.34,23.6,2912.14,7245.87
11.3065,376,33.31,21.9,2913.39,7242.78
11.3483,598,36.1,23.6,2913.39,7242.78
11.3843,450,24.95,21.9,2913.39,7242.78
11.4087,524,30.2,23.6,2914.63,7239.69
11.5062,376,33.32,21.9,2915.87,7236.6
11.5481,598,36.07,23.6,2915.87,7236.6
11.5846,450,24.95,21.9,2915.87,7236.6
11.609,524,30.05,23.6,2917.12,7233.51
11.7062,376,33.29,21.9,2918.36,7230.43
11.7481,598,36.06,23.6,2918.36,7230.43
11.7843,450,24.99,21.9,2918.36,7230.43
11.8087,524,29.94,23.6,2919.61,7227.33
11.9065,376,33.29,21.9,2920.85,7224.24
11.9483,598,36.01,23.6,2920.85,7224.24
11.9843,450,24.98,21.9,2920.85,7224.24
12.0087,524,29.81,23.6,2922.1,7221.15
12.1062,376,33.31,21.9,2923.34,7218.06
12.1481,598,35.98,23.6,2923.34,7218.06
12.1846,450,24.99,21.9,2923.34,7218.06
12.209,524,29.7,23.6,2924.59,7214.97
12.3062,376,33.32,21.9,2925.83,7211.88
12.3481,598,35.99,23.6,2925.83,7211.88
12.3843,450,24.97,21.9,2925.83,7211.88
