Time,VehicleID,Speed,PositionX,PositionY,DetectedObjects,TTC,SubCauseCode,DangerVehicleID
14.686,vehA,22.937,2885.638,7311.668,1,7.058023,0,vehB
14.786,vehA,23.002,2886.497,7309.534,1,6.720351,0,vehB
14.886,vehA,23.062,2887.359,7307.395,1,6.442608,0,vehB
14.986,vehA,23.122,2888.223,7305.250,1,6.207312,0,vehB
15.086,vehA,23.211,2889.090,7303.097,1,5.988569,0,vehB
15.186,vehA,23.301,2889.961,7300.936,1,5.801010,0,vehB
15.286,vehA,23.399,2890.835,7298.766,1,5.635706,0,vehB
15.386,vehA,23.476,2891.712,7296.588,1,5.502232,0,vehB
15.486,vehA,23.557,2892.592,7294.403,1,5.384531,0,vehB
15.586,vehA,23.632,2893.475,7292.211,1,5.284270,0,vehB
15.686,vehA,23.710,2894.361,7290.012,1,5.195673,0,vehB
15.786,vehA,23.795,2895.250,7287.804,1,5.116047,0,vehB
15.886,vehA,23.867,2896.142,7285.591,1,5.050854,0,vehB
15.986,vehA,23.926,2897.036,7283.371,1,4.998912,0,vehB
16.086,vehA,23.988,2897.932,7281.146,1,4.952594,0,vehB
16.186,vehA,24.044,2898.830,7278.916,1,N/A,0,N/A
16.286,vehA,24.134,2899.732,7276.677,1,N/A,0,N/A
16.386,vehA,24.214,2900.637,7274.431,0,N/A,0,N/A
16.486,vehA,24.289,2901.544,7272.178,0,N/A,0,N/A
16.586,vehA,24.357,2902.454,7269.919,0,N/A,0,N/A
16.686,vehA,24.422,2903.367,7267.654,0,N/A,0,N/A
16.786,vehA,24.516,2904.283,7265.380,0,N/A,0,N/A
16.886,vehA,24.597,2905.202,7263.098,0,N/A,0,N/A
16.986,vehA,24.660,2906.123,7260.811,0,N/A,0,N/A
17.086,vehA,24.751,2907.048,7258.515,0,N/A,0,N/A
17.186,vehA,24.821,2907.975,7256.213,0,N/A,0,N/A
17.286,vehA,24.907,2908.906,7253.902,0,N/A,0,N/A
17.386,vehA,24.981,2909.839,7251.585,0,N/A,0,N/A
17.486,vehA,25.072,2910.776,7249.260,0,N/A,0,N/A
17.586,vehA,25.148,2911.715,7246.927,0,N/A,0,N/A
17.686,vehA,25.234,2912.658,7244.586,0,N/A,0,N/A
17.786,vehA,25.309,2913.604,7242.239,0,N/A,0,N/A
17.886,vehA,25.363,2914.552,7239.886,0,N/A,0,N/A
17.986,vehA,25.441,2915.502,7237.526,0,N/A,0,N/A
18.086,vehA,25.511,2916.455,7235.160,0,N/A,0,N/A
18.186,vehA,25.574,2917.411,7232.788,0,N/A,0,N/A
18.286,vehA,25.643,2918.369,7230.409,0,N/A,0,N/A
18.386,vehA,25.731,2919.330,7228.022,0,N/A,0,N/A
18.486,vehA,25.801,2920.294,7225.629,0,N/A,0,N/A
18.586,vehA,25.881,2921.261,7223.229,0,N/A,0,N/A
18.686,vehA,25.944,2922.230,7220.822,0,N/A,0,N/A
18.786,vehA,26.033,2923.203,7218.407,0,N/A,0,N/A
18.886,vehA,26.103,2924.178,7215.986,0,N/A,0,N/A
18.986,vehA,26.167,2925.156,7213.559,0,N/A,0,N/A
19.086,vehA,26.266,2926.137,7211.123,0,N/A,0,N/A
19.186,vehA,26.360,2927.122,7208.678,0,N/A,0,N/A
19.286,vehA,26.433,2928.110,7206.226,0,N/A,0,N/A
19.386,vehA,26.504,2929.100,7203.767,0,N/A,0,N/A
