Time,SenderSumoID,SenderStationID,OffenderSumoID,OffenderStationID,DetectedSpeed,PosX,PosY,ViolationType
8.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
8.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
8.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
8.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
8.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
8.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
8.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
8.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
8.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
9.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
9.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
9.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
9.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
9.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
9.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
9.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
9.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
9.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
9.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
10.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
10.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
10.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
10.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
10.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
10.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
10.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
10.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
10.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
10.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
11.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
11.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
11.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
11.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
11.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
11.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
11.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
11.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
11.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
11.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
12.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
12.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
12.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
12.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
12.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
12.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
12.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
12.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
12.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
12.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
13.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
13.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
13.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
13.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
13.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
13.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
13.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
