timestamp,vehicleId,speed,heading,longitude,latitude
20.0648,91,0,23.6,-8650500,443393880
20.2341,521,0,23.6,-8650910,443393250
20.2648,91,0,23.6,-8650500,443393880
20.4344,521,0,23.6,-8650910,443393250
20.4651,91,0,23.6,-8650500,443393880
20.6341,521,0,23.6,-8650910,443393250
20.6648,91,0,23.6,-8650500,443393880
20.8341,521,0,23.6,-8650910,443393250
20.8648,91,0,23.6,-8650500,443393880
21.0344,521,0,23.6,-8650910,443393250
21.0651,91,0,23.6,-8650500,443393880
21.2341,521,0,23.6,-8650910,443393250
21.2648,91,0,23.6,-8650500,443393880
21.4341,521,0,23.6,-8650910,443393250
21.4648,91,0,23.6,-8650500,443393880
21.6344,521,0,23.6,-8650910,443393250
21.6651,91,0,23.6,-8650500,443393880
21.8341,521,0,23.6,-8650910,443393250
21.8648,91,0,23.6,-8650500,443393880
22.0341,521,0,23.6,-8650910,443393250
22.0648,91,0,23.6,-8650500,443393880
22.2344,521,0,23.6,-8650910,443393250
22.2651,91,0,23.6,-8650500,443393880
22.4341,521,0,23.6,-8650910,443393250
22.4648,91,0,23.6,-8650500,443393880
22.6341,521,0,23.6,-8650910,443393250
22.6648,91,0,23.6,-8650500,443393880
22.8344,521,0,23.6,-8650910,443393250
22.8651,91,0,23.6,-8650500,443393880
23.0341,521,0,23.6,-8650910,443393250
23.0648,91,0,23.6,-8650500,443393880
23.2341,521,0,23.6,-8650910,443393250
23.2648,91,0,23.6,-8650500,443393880
23.4344,521,0,23.6,-8650910,443393250
23.4651,91,0,23.6,-8650500,443393880
23.6341,521,0,23.6,-8650910,443393250
23.6648,91,0,23.6,-8650500,443393880
23.8341,521,0,23.6,-8650910,443393250
23.8648,91,0,23.6,-8650500,443393880
24.0344,521,0,23.6,-8650910,443393250
24.0651,91,0,23.6,-8650500,443393880
24.2341,521,0,23.6,-8650910,443393250
24.2648,91,0,23.6,-8650500,443393880
24.4341,521,0,23.6,-8650910,443393250
24.4648,91,0,23.6,-8650500,443393880
24.6344,521,0,23.6,-8650910,443393250
24.6651,91,0,23.6,-8650500,443393880
24.8341,521,0,23.6,-8650910,443393250
24.8648,91,0,23.6,-8650500,443393880
25.0341,521,0,23.6,-8650910,443393250
